ticker,volume,open,close,high,low,time,transactions
AAPL,35058,209.57,209.59,209.60,209.53,1752002820000,686
AAPL,34517,209.59,209.58,209.59,209.54,1752002880000,631
AAPL,65642,209.59,209.61,209.66,209.58,1752002940000,1009
AAPL,109409,209.60,209.57,209.70,209.54,1752003000000,1508
AAPL,37585,209.56,209.62,209.63,209.56,1752003060000,721
AAPL,44516,209.63,209.60,209.65,209.60,1752003120000,815
AAPL,48380,209.60,209.66,209.67,209.59,1752003180000,826
AAPL,59691,209.66,209.61,209.67,209.58,1752003240000,776
AAPL,69205,209.62,209.63,209.64,209.58,1752003300000,841
AAPL,80009,209.62,209.57,209.63,209.54,1752003360000,1103
AAPL,61598,209.57,209.63,209.66,209.56,1752003420000,826
AAPL,58200,209.62,209.58,209.63,209.56,1752003480000,792
AAPL,74400,209.58,209.42,209.59,209.41,1752003540000,1192
AAPL,77948,209.41,209.39,209.43,209.30,1752003600000,1322
AAPL,569441,209.40,209.45,209.46,209.37,1752003660000,1042
AAPL,69443,209.45,209.43,209.46,209.40,1752003720000,1047
AAPL,62326,209.42,209.41,209.47,209.35,1752003780000,1002
AAPL,70600,209.42,209.52,209.56,209.42,1752003840000,1209
AAPL,80556,209.52,209.54,209.59,209.50,1752003900000,1212
AAPL,61528,209.54,209.55,209.58,209.48,1752003960000,952
AAPL,76458,209.54,209.62,209.65,209.54,1752004020000,1091
AAPL,79279,209.62,209.65,209.73,209.62,1752004080000,1235
AAPL,57209,209.66,209.70,209.71,209.65,1752004140000,1022
AAPL,135845,209.70,209.80,209.87,209.70,1752004200000,2164
AAPL,162502,209.80,209.83,209.86,209.76,1752004260000,2273
AAPL,296320,209.84,209.80,209.95,209.75,1752004320000,2698
AAPL,135422,209.80,209.76,209.93,209.74,1752004380000,1955
AAPL,409938,209.76,210.09,210.81,209.76,1752004440000,4854
AAPL,340993,210.10,209.87,210.28,209.84,1752004500000,4957
AAPL,269227,209.86,209.87,209.93,209.79,1752004560000,3513
AAPL,263223,209.87,209.91,209.92,209.77,1752004620000,3562
AAPL,396283,209.91,209.95,210.01,209.90,1752004680000,4351
AAPL,863956,209.95,210.04,210.13,209.92,1752004740000,9697
AAPL,2355778,210.01,210.03,210.07,209.94,1752004800000,169
AAPL,1213,210.00,210.01,210.04,210.00,1752004860000,29
AAPL,45604,210.10,210.10,210.19,210.01,1752004920000,49
AAPL,3928,210.01,210.04,210.11,210.01,1752004980000,47
AAPL,52225,210.01,210.01,210.01,210.01,1752005040000,45
AAPL,962,210.04,210.09,210.09,210.02,1752005100000,22
AAPL,617,210.02,210.02,210.02,210.02,1752005160000,26
AAPL,306,210.03,210.03,210.03,210.03,1752005220000,17
AAPL,384,210.03,210.03,210.03,210.03,1752005280000,8
AAPL,555,210.07,210.03,210.07,210.03,1752005340000,15
AAPL,3499,210.03,210.01,210.03,210.01,1752005400000,22
AAPL,205,210.02,210.02,210.02,210.02,1752005460000,14
AAPL,2692,210.03,210.01,210.03,210.01,1752005580000,48
AAPL,9015,210.01,210.00,210.01,210.00,1752005640000,74
AAPL,3689,210.01,210.01,210.01,210.01,1752005700000,15
AAPL,603,210.02,210.02,210.02,210.02,1752005760000,8
AAPL,808,210.04,210.05,210.05,210.04,1752005820000,11
AAPL,1273,210.00,210.00,210.00,210.00,1752005880000,24
AAPL,1251,210.00,209.95,210.02,209.95,1752005940000,13
AAPL,2479,210.02,210.00,210.02,210.00,1752006060000,25
AAPL,1510,210.04,210.00,210.05,210.00,1752006120000,22
AAPL,1769,210.05,210.08,210.08,210.05,1752006240000,23
AAPL,1706,210.09,210.09,210.09,210.09,1752006300000,25
AAPL,1316,210.09,210.15,210.15,210.09,1752006360000,27
AAPL,642,210.14,210.14,210.14,210.14,1752006420000,15
AAPL,2326,210.14,210.20,210.20,210.14,1752006480000,30
AAPL,447,210.15,210.14,210.15,210.14,1752006540000,15
